ligand,PHGDH,GRK5,GRK2,min_kinase_off,kinase_sel_idx,interp
K58,-1.0,1.6216888427734375,1.4161925315856934,1.4161925315856934,-2.4161925315856934,STRONG
K5K,-1.79,0.5719441771507263,0.14472469687461853,0.14472469687461853,-1.9347246968746186,STRONG
NCT503,-0.3,1.2224695682525635,0.9614207744598389,0.9614207744598389,-1.261420774459839,STRONG
ONS,-1.82,-0.001114577054977417,0.047717899084091187,-0.001114577054977417,-1.8188854229450226,STRONG
ONV,-1.02,-0.04855187237262726,-0.4939225912094116,-0.4939225912094116,-0.5260774087905884,modest
b1_005,-0.39,-0.4326975345611572,0.03949691727757454,-0.4326975345611572,0.04269753456115721,!!!off-target
b1_051,-0.48,0.08894509077072144,0.08394400775432587,0.08394400775432587,-0.5639440077543258,modest
b1_058,-0.65,-1.1059224605560303,-1.402118444442749,-1.402118444442749,0.752118444442749,!!!off-target
b1_112,-0.37,-0.980862021446228,-0.903202474117279,-0.980862021446228,0.610862021446228,!!!off-target
r2b2_107,-0.66,0.5654945373535156,0.4544520378112793,0.4544520378112793,-1.1144520378112794,STRONG
r2b2_285,-0.56,1.002762794494629,0.3270551562309265,0.3270551562309265,-0.8870551562309266,modest
